Date,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
20200101,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200102,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200103,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200104,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200105,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200106,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200107,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200108,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200109,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200110,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200111,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200112,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200113,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200114,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200115,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200116,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200117,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200118,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200119,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200120,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200121,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200122,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200123,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200124,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200125,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200126,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200127,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200128,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200129,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200130,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.56,5.56,9.52,9.52,5.95,5.95,6.94,6.94,0.0,0.0
20200131,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,,,2.0,0.0,8.33,8.33,9.52,9.52,14.88,14.88,17.36,17.36,0.0,0.0
20200201,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,,,2.0,0.0,8.33,8.33,9.52,9.52,14.88,14.88,17.36,17.36,0.0,0.0
20200202,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,2.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200203,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,26014287.82,0.0,,,8.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200204,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,8.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200205,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,9.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200206,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,9.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200207,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,9.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200208,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,13.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200209,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,14.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200210,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,14.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200211,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,15.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200212,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,16.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200213,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,17.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200214,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,18.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200215,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,18.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200216,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,18.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200217,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,19.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200218,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,19.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200219,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,20.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200220,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,22.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200221,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,23.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200222,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,23.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200223,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,28.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200224,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,30.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200225,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,34.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200226,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,37.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200227,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,44.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200228,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,56.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200229,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,61.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200301,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,94.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200302,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,134.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200303,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,189.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200304,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,245.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200305,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,294.0,0.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200306,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,26019722.45,0.0,,,373.0,1.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200307,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,428.0,2.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200308,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,482.0,2.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200309,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,629.0,3.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200310,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,,887.0,7.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200311,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,32223318564.93,183360000.0,2.0,1.0,1.0,2.0,6444663712.99,0.0,0.0,,,1298.0,7.0,11.11,11.11,14.29,14.29,16.67,16.67,19.44,19.44,0.0,0.0
20200312,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1787.0,9.0,11.11,11.11,14.29,14.29,9.52,9.52,11.11,11.11,0.0,0.0
20200313,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,2266.0,10.0,12.96,12.96,17.86,17.86,10.71,10.71,12.5,12.5,0.0,0.0
20200314,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,2630.0,29.0,12.96,12.96,17.86,17.86,10.71,10.71,12.5,12.5,0.0,0.0
20200315,NAT_TOTAL,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,3072.0,43.0,12.96,12.96,17.86,17.86,10.71,10.71,12.5,12.5,0.0,0.0
20200316,NAT_TOTAL,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,3684.0,65.0,16.67,16.67,25.0,25.0,13.1,13.1,15.28,15.28,0.0,0.0
20200317,NAT_TOTAL,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,4452.0,82.0,22.22,22.22,34.52,34.52,20.24,20.24,19.44,19.44,25.0,25.0
20200318,NAT_TOTAL,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,5451.0,116.0,31.48,31.48,45.24,45.24,26.19,26.19,26.39,26.39,25.0,25.0
